Type,Sub_Type,Faction,Name,Prefixes,Suffixes,Food Cost,Wood Cost,Gold Cost,Favor Cost,Pop Cost,Training Time,Hitpoints,Line of Sight,Attack Type,Rate of fire,Bonus Multiplier,Maximum range,Hack Damage,Pierce Damage,Divine Damage,Crush Damage,Hack Armor,Pierce Armor,Crush Armor,Range,Velocity,Description
,,,achilles (hero),,,75,,175,2,3,20,300,16,Melee Attack,1, MythUnit:  8.00,0.75,9,,,,30,45,99,,5.3,
,,,ajax (hero),,,100,50,,,2,5,190,16,Melee Attack,1, MythUnit:  12.00,1,1.75,,,,40,35,99,,4.3,Hero. Good against myth units. Switches to a ranged attack to fight flying units. Collects Relics.
,,,anubite,,,100,,,15,2,9,200,16,Melee Attack,0.8," MythUnit:  3.00,  Hero:  0.50",0.5,11,,,,60,55,80,,5,Myth unit. A fast-running monster that can leap into combat. Good against human soldiers.
,,,arcus,,,,60,35,,2,16,65,22,Ranged Attack,1, AbstractInfantry:  1.25,20,,5,,,15,15,99,,4,
,,,argus,,,,,250,25,4,20,760,16,Melee Attack,1.5," MythUnit:  3.00,  Hero:  0.50",0.5,50,,,,60,70,80,,4.1,Myth unit. Can attack with a blob of acid that deals massive area damage after a short time. Good against human soldiers.
,,,atalanta (hero),,,100,50,,,2,5,190,16,Melee Attack,1, MythUnit:  12.00,1,1.75,,,,40,35,99,,4.3,Fast Hero. Good against myth units. Switches to a ranged attack to fight flying units. Collects Relics.
,,,automaton,,,,,90,6,2,10,230,16,Melee Attack,1," MythUnit:  3.00,  Hero:  0.50",0.5,11,,,,30,55,80,,4.2,Myth unit. Men of metal that can repair and rebuild each other. Good against human soldiers.
,,,avenger,,,250,,,25,3,24,600,16,Melee Attack,1," MythUnit:  3.00,  Hero:  0.50",0.5,28,,,,60,40,80,,5.5,Myth unit. A fast unit that can attack multiple enemies at once. Good against human soldiers.
,,,axe cart,,,,200,200,,4,22,500,18,Wall Breaching,2.1,,,30,,,90,30,90,85,,2.6,
,,,axeman,,,40,,30,,2,12,80,16,Melee Attack,1," AbstractInfantry:  4.00,  Building:  1.60",0.5,5,,,,40,10,99,,4.3,Counter infantry. Infantry only good against other infantry.
,,,baihu,,,120,150,,23,3,20,650,16,Melee Attack,1," MythUnit:  2.00,  Hero:  0.50",1,30,,,15,50,50,80,,5.2,
,,,ballista,,,,150,150,,3,17,85,40,Wall Breaching,2.5, Ship:  3.00,,,22,,19,20,90,85,,2.4,"Ranged siege weapon. Strong against units and ships, decent against buildings."
,,,battle boar,,,,,250,27,3,20,720,16,Melee Attack,1," MythUnit:  2.00,  Hero:  0.50",1,20,,,30,60,60,80,,5,Myth unit. A fast-moving construct that goes berserk and bucks at units all around it. Good against human soldiers and buildings.
,,,behemoth,,,250,,,20,4,20,700,16,Melee Attack,1.5," MythUnit:  2.00,  Hero:  0.50",2.5,20,,,110,30,75,80,,3,Siege myth unit. Living siege weapon that regenerates. Good against buildings and human soldiers.
