Type,Sub_Type,Faction,Name,Prefixes,Suffixes,Food Cost,Wood Cost,Gold Cost,Favor Cost,Pop Cost,Training Time,Buildpoints,Hitpoints,Line of Sight,Attack Type,Rate of fire,Bonus Multiplier,Maximum range,Hack Damage,Pierce Damage,Divine Damage,Crush Damage,Hack Armor,Pierce Armor,Crush Armor,Range,Velocity,Description
unit,,,achilles (hero),,,75,,175,2,3,20,,300,16,Melee Attack,1, MythUnit:  8.00,0.75,9,,,,30,45,99,,5.3,Mounted Hero. Good against myth units. Switches to a ranged attack to fight flying units. Collects Relics.
unit,,,ajax (hero),,,100,50,,,2,5,,190,16,Melee Attack,1, MythUnit:  12.00,1,1.75,,,,40,35,99,,4.3,Hero. Good against myth units. Switches to a ranged attack to fight flying units. Collects Relics.
unit,,,anubite,,,100,,,15,2,9,,200,16,Melee Attack,0.8," MythUnit:  3.00,  Hero:  0.50",0.5,11,,,,60,55,80,,5,Myth unit. A fast-running monster that can leap into combat. Good against human soldiers.
unit,,,arcus (hero),,,,105,60,2,2,,,70,24,Ranged Attack,1," MythUnit:  5.50,  AbstractInfantry:  1.25",20,,6,,,15,15,99,,4.3,"Ranged Soldier, Hero. Good against infantry and myth units."
unit,,,arcus,,,,60,35,,2,16,,65,22,Ranged Attack,1, AbstractInfantry:  1.25,20,,5,,,15,15,99,,4,Ranged Soldier. Good against infantry.
unit,,,argus,,,,,250,25,4,20,,760,16,Melee Attack,1.5," MythUnit:  3.00,  Hero:  0.50",0.5,50,,,,60,70,80,,4.1,Myth unit. Can attack with a blob of acid that deals massive area damage after a short time. Good against human soldiers.
unit,,,asura,,,250,,150,30,4,15,,1000,18,Melee Attack,2," MythUnit:  2.00,  Hero:  0.25",5,30,,,30,45,65,80,,3.2,Myth unit. A towering giant who incinerates enemies. Good against human soldiers and buildings.
unit,,,atalanta (hero),,,100,50,,,2,5,,190,16,Melee Attack,1, MythUnit:  12.00,1,1.75,,,,40,35,99,,4.3,Fast Hero. Good against myth units. Switches to a ranged attack to fight flying units. Collects Relics.
unit,,,automaton,,,,,90,6,2,10,,230,16,Melee Attack,1," MythUnit:  3.00,  Hero:  0.50",0.5,11,,,,30,55,80,,4.2,Myth unit. Men of metal that can repair and rebuild each other. Good against human soldiers.
unit,,,avenger,,,250,,,25,3,24,,600,16,Melee Attack,1," MythUnit:  3.00,  Hero:  0.50",0.5,28,,,,60,40,80,,5.5,Myth unit. A fast unit that can attack multiple enemies at once. Good against human soldiers.
unit,,,axe cart,,,,200,200,,4,22,,500,18,Wall Breaching,2.1,,,30,,,90,30,90,85,,2.6,Siege weapon. Swings a large fan-shaped shovel to knock down walls and other buildings.
unit,,,axeman,,,40,,30,,2,12,,80,16,Melee Attack,1," AbstractInfantry:  4.00,  Building:  1.60",0.5,5,,,,40,10,99,,4.3,Counter infantry. Infantry only good against other infantry.
unit,,,baihu,,,120,150,,23,3,20,,650,16,Melee Attack,1," MythUnit:  2.00,  Hero:  0.50",1,30,,,15,50,50,80,,5.2,Myth unit with powerful strikes that send units flying. Good against human soldiers.
unit,,,ballista,,,,150,150,,3,17,,85,40,Wall Breaching,2.5, Ship:  3.00,,,22,,19,20,90,85,,2.4,"Ranged siege weapon. Strong against units and ships, decent against buildings."
unit,,,battle boar,,,,,250,27,3,20,,720,16,Melee Attack,1," MythUnit:  2.00,  Hero:  0.50",1,20,,,30,60,60,80,,5,Myth unit. A fast-moving construct that goes berserk and bucks at units all around it. Good against human soldiers and buildings.
unit,,,behemoth,,,250,,,20,4,20,,700,16,Melee Attack,1.5," MythUnit:  2.00,  Hero:  0.50",2.5,20,,,110,30,75,80,,3,Siege myth unit. Living siege weapon that regenerates. Good against buildings and human soldiers.
unit,,,bellerophon (hero),,,,,400,6,4,30,,440,16,Melee Attack,1.2, MythUnit:  4.50,1,15,,7,,20,55,99,,6,"Mounted Hero that leaps into battle on the winged horse, Pegasus. Good against myth units. Switches to a ranged attack to fight flying units."
unit,,,berserk,,,50,,30,,2,9,,85,18,Melee Attack,0.7, Building:  1.60,0.5,0.65,,,,35,10,99,,4.8,Infantry. Good against whatever it can reach.
unit,,,bireme,,,,100,50,,3,16,,290,20,Ranged Attack,1.5,,16,,8,,,50,30,5,,5.5,Arrow ship. Good against close-combat ships. Can transport units.
unit,,,bushi (hero),,,,60,50,2,3,20,,80,20,Ranged Attack,1.5, MythUnit:  8.00,18,,8,,,15,25,99,,4.2,Ranged hero. Good against myth units.
unit,,,caladria,,,,100,25,12,2,9,,100,20,Pacify,3.5,,18,,,,,5,45,80,,5,"Myth unit. Heals allied units and slows down enemy units. Has no attack, and can only be attacked by ranged units."
unit,,,camel caravan,,,100,25,,,1,18,,115,16,,,,,,,,,30,30,99,,3.8,Task the Caravan on any Town Center to collect Gold and return it to your Market. Longer routes produce more Gold.
unit,,,camel rider,,,50,,70,,3,6,,135,16,Melee Attack,1," AbstractCavalry:  2.00,  AbstractArcher:  1.25",0.75,8,,,,15,40,99,,6,"Cavalry. A fast, expensive unit that is good against ranged soldiers and cavalry."
unit,,,carcinos,,,,200,,15,3,9,,900,16,Melee Attack,1.2," MythUnit:  2.00,  Hero:  0.50",0.5,35,,,20,70,60,80,,5,Myth unit. Giant crustacean that is good against ships.
unit,,,carnivora,,,,,,25,0,,,600,16,Melee Attack,1," AbstractVillager:  O.25,  Hero:  0.50",3,20,,,,35,20,80,,Immoveable,Myth unit. This living plant can sink ships or swallow soldiers.
unit,,,catapult,,,,200,200,,5,26,,115,36,Wall Breaching,4, Ship:  2.50,,,40,,250,30,90,85,,2.4,Ranged siege weapon. Good against buildings and ships.
unit,,,centaur,,,,180,,14,3,22,,250,16,Ranged Attack,1.5," MythUnit:  2.00,  Hero:  0.25",12,,18,,,15,20,80,,5.5,Ranged myth unit. Fast cavalry archer with an arrow volley special attack. Good against human soldiers.
unit,,,centimanus,,,,,300,25,4,18,,900,16,Melee Attack,1.5, Hero:  0.25,0.5,55,,,80,60,60,80,,3.3,Myth unit. A mighty giant who pounds the ground to knock back his enemies. Good against human soldiers.
,,,champiom of freyr (legend),,,,,,,,,,,,,,,,,,,,,,,,,Infantry Legend. Good against myth units.
unit,,,chariot archer,,,,100,40,,3,8,,95,21,Ranged Attack,1.5, AbstractInfantry:  1.50,19,,11,,,15,20,99,,5,"Ranged Soldier, Cavalry. Good against infantry."
unit,,,cheiroballista (hero),,,,200,175,4,4,,,120,22,Ranged Attack,2," AbstractInfantry:  5.00,  MythUnit:  8.00,  Ship:  3.00",17,,4,,,20,50,85,,4.1,"Ranged Soldier, Siege Weapon, Hero. Fragile, but very powerful against infantry, ships, and myth units."
unit,,,cheiroballista,,,,115,100,,4,24,,105,22,Ranged Attack,2," AbstractInfantry:  5.00,  Ship:  3.00",17,,3,,,20,50,85,,3.8,"Ranged Soldier, Siege Weapon. Fragile, but very powerful against infantry and ships."
unit,,,chimera,,,300,,,28,4,20,,700,16,Melee Attack,1," MythUnit:  3.00,  Hero:  0.50",1,20,,,,60,60,80,,5.3,Myth unit that can breathe fire on adjacent units. Good against human soldiers.
unit,,,chiron (hero),,,,250,100,4,2,25,,350,20,Ranged Attack,1.5, MythUnit:  6.50,18,,13,,,20,30,99,,5.5,Hero. Has a ranged attack that is good against myth units.
unit,,,chiwen,,,,150,150,20,3,15,,300,22,Melee Attack,1.5," MythUnit:  2.00,  Hero:  0.50",1,35,,,15,40,60,80,,5.2,Myth unit. Strong aquatic unit with a regenerative shield. Good against ships.
unit,,,chu ko nu,,,,90,55,,3,16,,90,16,Ranged Attack,2.8,,16,,8,,,20,25,99,,3.8,Ranged soldier. Versatile Chinese crossbowman with a rapid-fire attack.
unit,,,citizen (hero),,,150,25,,2,2,,,125,16,Ranged Attack,2,,15,,22,,,25,35,99,,3.8,Hero Atlantean Citizens gather resources and build buildings. They do not drop off their resources at drop sites.
unit,,,citizen,,,85,15,,,2,30,,100,16,Ranged Attack,2,,14,,20,,,25,35,99,,3.8,Atlantean Citizens gather resources and build buildings. They do not drop off their resources at drop sites.
unit,,,colossus,,,,,350,30,4,24,,1200,16,Melee Attack,1.3, Hero:  0.50,0.5,26,,,100,50,75,80,,3,Siege myth unit. This titanic construct can eat trees or mines to heal itself. Good against human soldiers and buildings.
unit,,,commoner,,,50,,,,1,18,,55,14,Ranged Attack,2,,12,,12,,,25,35,99,,3.8,Japanese Commoners gather resources and construct buildings.
unit,,,contarius (hero),,,115,,70,3,3,,,155,16,Melee Attack,1.5," MythUnit:  7.00,  AbstractArcher:  1.50",1,15,,,,15,45,99,,6.05,"Cavalry, Hero. Good against ranged soldiers and myth units."
unit,,,contarius,,,65,,40,,3,16,,140,14,Melee Attack,1.5, AbstractArcher:  1.50,1,13.5,,,,15,45,99,,5.75,Cavalry. Good against ranged soldiers and siege engines.
unit,,,cyclops,,,150,,,18,3,20,,600,16,Melee Attack,1.4," MythUnit:  3.00,  Hero:  0.50",0.5,16,,,28,40,55,80,,3.5,Myth unit. Giant that hurls enemy units at other enemy units or buildings. Good against human soldiers.
unit,,,daimyo (hero),,,50,,110,2,4,19,,180,16,Melee Attack,1.5, MythUnit:  5.00,1,15,,,,20,50,99,,5.5,Cavalry hero. Good against myth units.
unit,,,dao swordsman,,,30,,55,,2,14,,135,16,Melee Attack,1.2, Building:  1.60,0.5,9,,,,30,30,99,,3.8,Slow but durable Chinese infantry. Decent vs. everything.
unit,,,deer caravan,,,100,25,,,1,18,,115,16,,,,,,,,,30,30,99,,3.8,Task the Caravan on any Town Center to collect Gold and return it to your Market. Longer routes produce more Gold.
unit,,,destroyer (hero),,,125,,105,3,3,,,165,18,Melee Attack,1.2," Building:  9.60,  MythUnit:  11.00",1.5,7,,,,30,70,99,,3.9,"Infantry, Hero. Good against buildings and myth units."
unit,,,destroyer,,,70,,60,,3,7,,150,16,Melee Attack,1.2, Building:  9.60,1.5,6,,,,30,70,99,,3.6,Infantry. Good against buildings.
unit,,,donkey caravan,,,100,25,,,1,18,,115,16,,,,,,,,,30,30,99,,3.8,Task the Caravan on any Town Center to collect Gold and return it to your Market. Longer routes produce more Gold.
unit,,,doujian,,,,100,50,,2,16,,290,20,Ranged Attack,1.5,,15,,8,,,50,30,5,,5.5,Arrow ship. Good against close-combat ships. Can transport units.
unit,,,dragon ship,,,,100,50,,3,16,,250,24,Ranged Attack,2, AbstractArcherShip:  2.00,20,,2.5,,4.5,10,60,10,,4.8,Siege ship. Good against arrow ships and buildings.
unit,,,draugr,,,,225,,14,2,14,,320,20,Ranged Attack,1," MythUnit:  2.00,  Hero:  0.50",14,,5,2,,25,30,80,,3.8,Myth unit. Reanimated archer that fires spectral arrows which penetrate all enemies in their path. Good against human soldiers.
unit,,,dreki,,,,100,50,,3,16,,320,16,Melee Attack,1.5,,2,27.5,,,,30,10,50,,7,Close-combat ship. Good against siege ships.
unit,,,dryad,,,,175,,,0,13,,275,16,Melee Attack,1.5, Hero:  0.50,0.5,22,,,,40,50,80,,4.5,Myth unit. Dryads are trained at the Hesperides Tree. Good against human soldiers.
unit,,,dwarf,,,,,60,,1,18,,55,16,Ranged Attack,2,,12,,12,,,25,35,99,,3.8,"Dwarves are good at mining Gold, but weak at gathering Food and Wood. They can construct Farms, Houses, and Ox Carts."
unit,,,einheri,,,,,150,15,2,17,,275,16,Melee Attack,1," MythUnit:  2.00,  Hero:  0.50",0.5,15,,,15,70,60,80,,3.8,Myth unit. Slow-moving unit that can boost the speed and attack of nearby units with a horn blast. Good against human soldiers and buildings.
unit,,,fafnir,,,,,300,35,5,12,,1400,16,Ranged Attack,3," MythUnit:  2.00,  Hero:  0.50",4,12,,,8,65,70,80,,4.8,"Myth unit. Cursed, but devastatingly powerful wingless dragon that engulfs enemies with fire and poison. Grants Gold to its slayer. Exceptional against human soldiers and buildings."
unit,,,fanatic (hero),,,130,,95,3,3,,,170,18,Melee Attack,1," AbstractInfantry:  1.50,  AbstractCavalry:  1.50,  MythUnit:  6.00",0.5,12,,,,40,15,99,,4.6,"Infantry, Hero. Good against infantry, cavalry and myth units."
unit,,,fanatic,,,75,,55,,3,7,,155,16,Melee Attack,1," AbstractInfantry:  1.50,  AbstractCavalry:  1.50,  Building:  1.60",0.5,10.5,,,,40,15,99,,4.3,Infantry. Good against infantry and cavalry.
unit,,,fei,,,60,,,8,0,,,75,16,Melee Attack,1," MythUnit:  2.00,  Hero:  0.50,  AbstractVillager:  O.50",0.75,9,,,,10,25,99,,5,"Myth unit. Leaves a trail of poison mist as it moves, and spreads infection to nearby enemies and animals. It eventually dies of its own affliction."
unit,,,fenris wolf brood,,,175,,,15,2,12,,550,16,Melee Attack,1.5," MythUnit:  3.00,  Hero:  0.25",1,40,,,,40,55,80,,5.5,"Myth unit. The larger the pack of Fenris Wolves, the stronger they get. Good against human soldiers."
unit,,,fimbulwinter wolf,,,,,,,0,,,180,16,Melee Attack,1.5, Hero:  0.50,0.5,21,,,,20,40,80,,6,Myth unit. Ravenous wolves summoned by the Norse gods. Good against Villagers.
unit,,,fire archer,,,,50,35,,2,9,,65,16,Ranged Attack,1," AbstractInfantry:  3.00,  Building:  6.00",12,,4,,,25,10,99,,4,Counter infantry. Ranged soldier good against infantry and decent against buildings.
unit,,,fire giant,,,,,300,28,4,24,,600,16,Ranged Attack,3," MythUnit:  2.00,  Hero:  0.25",14,45,,,20,60,70,80,,3.2,Myth unit. A mighty engine of destruction who hurls fireballs at enemies. Good against human soldiers and buildings.
unit,,,fire ship,,,,100,50,,3,16,,320,16,Ranged Attack,1.5,,6,25,,,,30,10,50,,7,Close-combat ship. Good against siege ships.
unit,,,fire siphon,,,,275,180,,5,19,,400,22,Wall Breaching,1.7,,,,20,,125,5,90,85,,2.9,Flame-throwing siege weapon. Good against buildings.
unit,,,fishing ship atlantean,,,,50,,,1,18,,100,20,,,,,,,,,60,50,5,,4.8,Gathers fish.
unit,,,fishing ship chinese,,,,50,,,1,18,,100,20,,,,3,,,50,50,60,50,5,,4.8,Gathers fish.
unit,,,fishing ship egyptian,,,,50,,,1,18,,100,20,,,,,,,,,60,50,5,,4.8,Gathers fish and can build a few buildings.
unit,,,fishing ship greek,,,,50,,,1,18,,100,20,,,,,,,,,60,50,5,,4.8,Gathers fish.
unit,,,fishing ship japanese,,,,50,,,1,18,,100,20,,,,,,,,,60,50,5,,4.8,Gathers fish.
unit,,,fishing ship norse,,,,50,,,1,18,,100,20,,,,,,,,,60,50,5,,4.8,Gathers fish.
unit,,,frost giant,,,,,200,22,4,20,,600,16,Melee Attack,2," MythUnit:  2.00,  Hero:  0.50",0.5,36,,,30,55,70,80,,3.8,Myth unit. A giant that can freeze other units with its breath. Good against human soldiers.
unit,,,gastraphetoros,,,,100,60,,3,9,,80,28,Ranged Attack,2.1, Building:  20.00,23,,12,,,5,15,99,,3.8,Archer of Hades. Good against infantry and buildings. Benefits from ranged soldier improvements.
unit,,,gatherer,,,50,,,,1,18,,55,14,Ranged Attack,2,,12,,12,,,25,35,99,,3.8,"Norse Gatherers can only collect resources and build Farms, Houses, and Ox Carts. Use infantry to build buildings."
unit,,,ge halberdier,,,50,,35,,2,14,,95,16,Melee Attack,1.1," AbstractCavalry:  5.00,  Building:  1.60",0.75,4,,,,40,5,99,,5,Counter cavalry. Infantry only good against cavalry.
unit,,,godi (hero),,,,80,40,,3,16,,85,19,Ranged Attack,1.5, MythUnit:  6.00,17,,7,,,20,15,99,,4,"Ranged Soldier, Hero. Good against myth units. Collects Relics."
unit,,,hatamoto samurai,,,105,,75,,0,,,190,16,Melee Attack,1.2," AbstractInfantry:  1.50,  Building:  1.60",0.5,,,16,,45,15,99,,4.2,Expensive but durable infantry summoned by Takemikazuchi. Good against whatever it can reach.
unit,,,helepolis,,,,300,200,,5,24,,650,18,Wall Breaching,2,,10,,10,,50,5,90,85,,2.9,Siege weapon. A rolling tower that can transport units and fire ballista bolts at buildings.
unit,,,heracles (hero),,,75,,175,2,3,20,,325,16,Melee Attack,1.2, MythUnit:  8.00,0.75,12,,,,25,30,99,,5,Hero. Good against myth units. Switches to a ranged attack to fight flying units. Collects Relics.
unit,,,hero of ragnarok dwarf,,,80,,40,,2,,,130,16,Melee Attack,1.3," MythUnit:  4.00,  Building:  1.60",0.75,9,,,,25,15,99,,4.3,"Infantry, Hero. Summoned to participate in the final battle of the gods. Collects Relics."
unit,,,hero of ragnarok,,,80,,40,,2,,,130,16,Melee Attack,1.3," MythUnit:  4.00,  Building:  1.60",0.75,9,,,,25,15,99,,4.3,"Infantry, Hero. Summoned to participate in the final battle of the gods. Collects Relics."
unit,,,hersir (hero),,,80,,40,,3,16,,130,16,Melee Attack,1.2," MythUnit:  6.00,  Building:  1.60",0.75,0.8,,,,20,25,99,,4.8,"Infantry, Hero. Good against myth units. Generates Favor faster and collects Relics."
unit,,,hetairos,,,50,,90,,3,8,,160,10,Melee Attack,1, AbstractArcher:  1.50,0.75,8,,,,5,40,99,,5,Cavalry of Poseidon. Deals area damage and is good against most units. Benefits from cavalry improvements.
unit,,,hippeus,,,40,,80,,3,16,,150,12,Melee Attack,1, AbstractArcher:  1.50,0.75,10,,,,15,45,99,,5.5,Cavalry. Good against ranged soldiers and siege engines.
unit,,,hippocampus,,,,,,,0,,,70,16,,,,,,,,,10,70,80,,6.6,"Poseidon's naval scout. Has no attack, but respawns if killed."
unit,,,hippolyta (hero),,,,250,100,4,2,25,,325,22,Ranged Attack,1.7, MythUnit:  6.50,20,,15,,,25,35,99,,4.3,Hero. Has a ranged attack that is good against myth units.
unit,,,hirdman,,,40,,45,,2,14,,90,16,Melee Attack,1," AbstractCavalry:  4.00,  Building:  1.60",0.75,5,,,,35,5,99,,4.8,Counter cavalry. Infantry only good against cavalry.
unit,,,honengyo,,,220,,,16,3,14,,1000,22,Melee Attack,1.5," MythUnit:  2.00,  Hero:  0.50",3,40,,,10,50,50,80,,5.3,Naval myth unit. Good against ships. Dives into the depths to resurface on enemy ships.
unit,,,hoplite,,,50,,40,,2,12,,115,16,Melee Attack,1," AbstractCavalry:  1.25,  Building:  1.60",0.75,8,,,,40,15,99,,4.3,Infantry. Good against cavalry.
unit,,,hundun,,,220,,,30,3,20,,1200,16,Melee Attack,1.33," MythUnit:  2.00,  Hero:  0.25",1,40,,,50,45,65,80,,3.6,Myth unit. Faceless being that can temporarily banish and terrify enemy units. Good against human soldiers.
unit,,,huskarl,,,,75,40,,2,6,,115,16,Melee Attack,1," AbstractArcher:  2.00,  Building:  1.60",0.5,7,,,,10,60,99,,5,Counter to ranged soldiers. Infantry only good against ranged soldiers.
unit,,,hydra,,,250,,,28,4,20,,800,16,Melee Attack,1.5," MythUnit:  2.00,  Hero:  0.50",2,30,,,18,60,50,80,,4,"Size -- 20,000+ lbs."
unit,,,hypaspist,,,60,,25,,2,9,,95,16,Melee Attack,1.2," AbstractInfantry:  5.00,  Building:  1.60",0.5,6,,,,35,10,99,,4.3,"Greek infantry are more expensive than those of other cultures, but they are also more powerful. The Hypaspist excels at fighting enemy infantry."
unit,,,jarl,,,50,,80,,3,14,,190,16,Melee Attack,1,,0.75,11,,,,25,40,99,,4.8,Elite heavy cavalry. Good against human soldiers.
unit,,,jason (hero),,,100,50,,,2,5,,200,16,Melee Attack,1.5, MythUnit:  12.00,0.75,2.25,,,,35,35,99,,4.3,Hero. Good against myth units. Switches to a ranged attack to fight flying units. Collects Relics.
unit,,,jiang ziya (hero),,,150,250,,5,3,20,,275,20,Ranged Attack,1.2, MythUnit:  5.00,16,,8,4,,20,40,99,,5.65,"Say 150 & 250 «7 5 KA3 FE \ Ranged hero. Good against everything, but especially myth units. Collects Relics."
unit,,,jormun elver,,,200,,,15,4,10,,1200,22,Ranged Attack,1.5," MythUnit:  2.00,  Hero:  0.50",16,,60,,,45,60,80,,6,Myth unit. A sea serpent that breathes steam. Good against human soldiers and ships.
unit,,,jorogumo,,,,,160,18,3,15,,360,16,Melee Attack,1.2," MythUnit:  3.00,  Hero:  0.25",1,16,,,,45,55,80,,4,Myth unit. A spider-woman hybrid with piercing limbs. Good against human soldiers.
unit,,,juggernaut,,,,100,50,,3,16,,265,24,Ranged Attack,2, AbstractArcherShip:  2.00,20,,2,,4,10,60,10,,4.8,Siege ship. Good against arrow ships and buildings.
unit,,,junkozosen,,,,100,50,,3,16,,250,24,Ranged Attack,2, AbstractArcherShip:  2.00,20,,2,,4,10,60,10,,5.2,Siege ship. Good against arrow ships and buildings.
unit,,,katapeltes (hero),,,105,,60,2,2,,,130,16,Melee Attack,1.2," MythUnit:  9.00,  AbstractCavalry:  4.00,  Building:  1.60",0.75,7,,,,35,10,99,,4.8,Counter cavalry. Infantry hero only good against cavalry and myth units.
unit,,,katapeltes,,,60,,35,,2,10,,115,14,Melee Attack,1.2," AbstractCavalry:  4.00,  Building:  1.60",0.75,6,,,,35,10,99,,4.5,Counter cavalry. Infantry only good against cavalry.
unit,,,kebenit,,,,90,45,,3,16,,290,20,Ranged Attack,1.5,,15,,8,,,50,30,5,,5.5,Arrow ship. Good against close-combat ships. Can transport units.
unit,,,kitsune,,,25,,,8,1,15,,100,15,Melee Attack,1.5," MythUnit:  2.00,  Hero:  0.50",1,1.5,,,,20,50,80,,6,"Myth unit. A scout with low attack, but can increase the speed of nearby friendly units."
unit,,,kraken,,,300,,,20,4,10,,800,16,Melee Attack,3.6," MythUnit:  3.00,  Hero:  0.50",1,54,,,18,50,70,80,,6,Myth unit. Krakens can sink ships or throw soldiers. Good against human soldiers and ships.
unit,,,kuafu,,,50,,100,15,3,36,,175,16,Ranged Attack,2, AbstractTower:  4.00,6,,22,,5,30,40,99,,3.6,A giant villager who excels at gathering Wood and Gold. Can construct buildings very quickly.
unit,,,laborer,,,50,,,,1,18,,55,14,Ranged Attack,2,,12,,12,,,25,35,99,,3.8,Egyptian Laborers gather resources and construct buildings.
unit,,,lampades,,,,,220,22,4,20,,350,16,Ranged Attack,2," MythUnit:  2.00,  Hero:  0.25",14,,24,20,,40,50,80,,4.3,Myth unit. Can invoke chaos on units at range. Good against human soldiers.
unit,,,leviathan,,,,,200,15,3,10,,1020,16,Melee Attack,1.5," MythUnit:  2.00,  Hero:  0.50",2,38,,,,40,60,80,,4.2,Myth unit. Living naval transport. Good against ships.
unit,,,li jing (hero),,,,200,300,8,4,30,,300,24,Ranged Attack,1.4, MythUnit:  4.00,20,,14,,,30,35,99,,4.5,"Ranged hero who uses his Golden Pagoda to trap enemy units. Good against everything, but especially myth units. Collects Relics."
unit,,,llama caravan,,,100,25,,,1,18,,115,16,,,,,,,,,30,30,99,,3.8,Task the Caravan on any Town Center to collect Gold and return it to your Market. Longer routes produce more Gold.
unit,,,longboat,,,,100,50,,3,16,,290,20,Ranged Attack,1.5,,15,,9,,,50,30,5,,5.5,Arrow ship. Good against close-combat ships. Can transport units.
unit,,,louchuan,,,,100,50,,2,12,,250,24,Ranged Attack,2, AbstractArcherShip:  2.00,20,,2,,4,10,60,10,,4.8,Siege ship. Good against arrow ships and buildings.
unit,,,man o' war,,,250,,,15,4,10,,900,16,,,,,,,,,50,70,80,,6,Myth unit. Ability to fire chain lightning attacks. Good against ships and human soldiers.
unit,,,manticore,,,,250,,25,4,17,,420,18,Ranged Attack,1," MythUnit:  3.00,  Hero:  0.25",16,,11,,,30,60,80,,4.6,Ranged myth unit that fires a volley of spines from its tail. Good against human soldiers.
